Age,Height (cm),Weight (kg),Sex,Activity Level,Pregnant,Calories (kcal),Protein (g),Carbohydrates (g),Fats (g),Water (L),Vitamin A (mcg),Vitamin B12 (mcg),Vitamin C (mg),Vitamin D (IU),Calcium (mg),Iron (mg),Magnesium (mg),Zinc (mg),Omega-3 (mg)
18,150,90,Female,Heavy,1,3014,108,376.8,83.7,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,95,Male,Sedentary,NULL,2163,114,270.4,60.1,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,95,Male,Moderate,NULL,2793,114,349.1,77.6,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,95,Male,Heavy,NULL,3424,114,428,95.1,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,95,Female,Sedentary,0,1963,114,245.4,54.5,3,700,2.4,75,600,1000,18,310,8,250
18,150,95,Female,Sedentary,1,1963,114,245.4,54.5,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,95,Female,Moderate,0,2536,114,317,70.4,3,700,2.4,75,600,1000,18,310,8,250
18,150,95,Female,Moderate,1,2536,114,317,70.4,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,95,Female,Heavy,0,3109,114,388.6,86.4,3,700,2.4,75,600,1000,18,310,8,250
18,150,95,Female,Heavy,1,3109,114,388.6,86.4,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,100,Male,Sedentary,NULL,2223,120,277.9,61.8,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,100,Male,Moderate,NULL,2871,120,358.9,79.8,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,100,Male,Heavy,NULL,3519,120,439.9,97.8,3.7,900,2.4,90,600,1000,8,400,11,250
18,150,100,Female,Sedentary,0,2023,120,252.9,56.2,3,700,2.4,75,600,1000,18,310,8,250
18,150,100,Female,Sedentary,1,2023,120,252.9,56.2,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,100,Female,Moderate,0,2614,120,326.8,72.6,3,700,2.4,75,600,1000,18,310,8,250
18,150,100,Female,Moderate,1,2614,120,326.8,72.6,3.8,770,2.6,85,600,1000,27,350,11,300
18,150,100,Female,Heavy,0,3204,120,400.5,89,3,700,2.4,75,600,1000,18,310,8,250
18,150,100,Female,Heavy,1,3204,120,400.5,89,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,45,Male,Sedentary,NULL,1600,54,200,44.4,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,45,Male,Moderate,NULL,2067,54,258.4,57.4,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,45,Male,Heavy,NULL,2534,54,316.8,70.4,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,45,Female,Sedentary,0,1401,54,175.1,38.9,3,700,2.4,75,600,1000,18,310,8,250
18,155,45,Female,Sedentary,1,1401,54,175.1,38.9,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,45,Female,Moderate,0,1810,54,226.2,50.3,3,700,2.4,75,600,1000,18,310,8,250
18,155,45,Female,Moderate,1,1810,54,226.2,50.3,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,45,Female,Heavy,0,2218,54,277.2,61.6,3,700,2.4,75,600,1000,18,310,8,250
18,155,45,Female,Heavy,1,2218,54,277.2,61.6,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,50,Male,Sedentary,NULL,1660,60,207.5,46.1,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,50,Male,Moderate,NULL,2144,60,268,59.6,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,50,Male,Heavy,NULL,2629,60,328.6,73,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,50,Female,Sedentary,0,1461,60,182.6,40.6,3,700,2.4,75,600,1000,18,310,8,250
18,155,50,Female,Sedentary,1,1461,60,182.6,40.6,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,50,Female,Moderate,0,1887,60,235.9,52.4,3,700,2.4,75,600,1000,18,310,8,250
18,155,50,Female,Moderate,1,1887,60,235.9,52.4,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,50,Female,Heavy,0,2313,60,289.1,64.2,3,700,2.4,75,600,1000,18,310,8,250
18,155,50,Female,Heavy,1,2313,60,289.1,64.2,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,55,Male,Sedentary,NULL,1720,66,215,47.8,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,55,Male,Moderate,NULL,2222,66,277.8,61.7,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,55,Male,Heavy,NULL,2724,66,340.5,75.7,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,55,Female,Sedentary,0,1521,66,190.1,42.2,3,700,2.4,75,600,1000,18,310,8,250
18,155,55,Female,Sedentary,1,1521,66,190.1,42.2,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,55,Female,Moderate,0,1965,66,245.6,54.6,3,700,2.4,75,600,1000,18,310,8,250
18,155,55,Female,Moderate,1,1965,66,245.6,54.6,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,55,Female,Heavy,0,2408,66,301,66.9,3,700,2.4,75,600,1000,18,310,8,250
18,155,55,Female,Heavy,1,2408,66,301,66.9,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,60,Male,Sedentary,NULL,1780,72,222.5,49.4,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,60,Male,Moderate,NULL,2299,72,287.4,63.9,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,60,Male,Heavy,NULL,2819,72,352.4,78.3,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,60,Female,Sedentary,0,1581,72,197.6,43.9,3,700,2.4,75,600,1000,18,310,8,250
18,155,60,Female,Sedentary,1,1581,72,197.6,43.9,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,60,Female,Moderate,0,2042,72,255.2,56.7,3,700,2.4,75,600,1000,18,310,8,250
18,155,60,Female,Moderate,1,2042,72,255.2,56.7,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,60,Female,Heavy,0,2503,72,312.9,69.5,3,700,2.4,75,600,1000,18,310,8,250
18,155,60,Female,Heavy,1,2503,72,312.9,69.5,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,65,Male,Sedentary,NULL,1840,78,230,51.1,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,65,Male,Moderate,NULL,2377,78,297.1,66,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,65,Male,Heavy,NULL,2914,78,364.2,80.9,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,65,Female,Sedentary,0,1641,78,205.1,45.6,3,700,2.4,75,600,1000,18,310,8,250
18,155,65,Female,Sedentary,1,1641,78,205.1,45.6,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,65,Female,Moderate,0,2120,78,265,58.9,3,700,2.4,75,600,1000,18,310,8,250
18,155,65,Female,Moderate,1,2120,78,265,58.9,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,65,Female,Heavy,0,2598,78,324.8,72.2,3,700,2.4,75,600,1000,18,310,8,250
18,155,65,Female,Heavy,1,2598,78,324.8,72.2,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,70,Male,Sedentary,NULL,1900,84,237.5,52.8,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,70,Male,Moderate,NULL,2454,84,306.8,68.2,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,70,Male,Heavy,NULL,3009,84,376.1,83.6,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,70,Female,Sedentary,0,1701,84,212.6,47.2,3,700,2.4,75,600,1000,18,310,8,250
18,155,70,Female,Sedentary,1,1701,84,212.6,47.2,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,70,Female,Moderate,0,2197,84,274.6,61,3,700,2.4,75,600,1000,18,310,8,250
18,155,70,Female,Moderate,1,2197,84,274.6,61,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,70,Female,Heavy,0,2693,84,336.6,74.8,3,700,2.4,75,600,1000,18,310,8,250
18,155,70,Female,Heavy,1,2693,84,336.6,74.8,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,75,Male,Sedentary,NULL,1960,90,245,54.4,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,75,Male,Moderate,NULL,2532,90,316.5,70.3,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,75,Male,Heavy,NULL,3104,90,388,86.2,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,75,Female,Sedentary,0,1761,90,220.1,48.9,3,700,2.4,75,600,1000,18,310,8,250
18,155,75,Female,Sedentary,1,1761,90,220.1,48.9,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,75,Female,Moderate,0,2275,90,284.4,63.2,3,700,2.4,75,600,1000,18,310,8,250
18,155,75,Female,Moderate,1,2275,90,284.4,63.2,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,75,Female,Heavy,0,2788,90,348.5,77.4,3,700,2.4,75,600,1000,18,310,8,250
18,155,75,Female,Heavy,1,2788,90,348.5,77.4,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,80,Male,Sedentary,NULL,2020,96,252.5,56.1,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,80,Male,Moderate,NULL,2609,96,326.1,72.5,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,80,Male,Heavy,NULL,3199,96,399.9,88.9,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,80,Female,Sedentary,0,1821,96,227.6,50.6,3,700,2.4,75,600,1000,18,310,8,250
18,155,80,Female,Sedentary,1,1821,96,227.6,50.6,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,80,Female,Moderate,0,2352,96,294,65.3,3,700,2.4,75,600,1000,18,310,8,250
18,155,80,Female,Moderate,1,2352,96,294,65.3,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,80,Female,Heavy,0,2883,96,360.4,80.1,3,700,2.4,75,600,1000,18,310,8,250
18,155,80,Female,Heavy,1,2883,96,360.4,80.1,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,85,Male,Sedentary,NULL,2080,102,260,57.8,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,85,Male,Moderate,NULL,2687,102,335.9,74.6,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,85,Male,Heavy,NULL,3294,102,411.8,91.5,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,85,Female,Sedentary,0,1881,102,235.1,52.2,3,700,2.4,75,600,1000,18,310,8,250
18,155,85,Female,Sedentary,1,1881,102,235.1,52.2,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,85,Female,Moderate,0,2430,102,303.8,67.5,3,700,2.4,75,600,1000,18,310,8,250
18,155,85,Female,Moderate,1,2430,102,303.8,67.5,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,85,Female,Heavy,0,2978,102,372.2,82.7,3,700,2.4,75,600,1000,18,310,8,250
18,155,85,Female,Heavy,1,2978,102,372.2,82.7,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,90,Male,Sedentary,NULL,2140,108,267.5,59.4,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,90,Male,Moderate,NULL,2764,108,345.5,76.8,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,90,Male,Heavy,NULL,3389,108,423.6,94.1,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,90,Female,Sedentary,0,1941,108,242.6,53.9,3,700,2.4,75,600,1000,18,310,8,250
18,155,90,Female,Sedentary,1,1941,108,242.6,53.9,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,90,Female,Moderate,0,2507,108,313.4,69.6,3,700,2.4,75,600,1000,18,310,8,250
18,155,90,Female,Moderate,1,2507,108,313.4,69.6,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,90,Female,Heavy,0,3073,108,384.1,85.4,3,700,2.4,75,600,1000,18,310,8,250
18,155,90,Female,Heavy,1,3073,108,384.1,85.4,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,95,Male,Sedentary,NULL,2200,114,275,61.1,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,95,Male,Moderate,NULL,2842,114,355.2,78.9,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,95,Male,Heavy,NULL,3484,114,435.5,96.8,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,95,Female,Sedentary,0,2001,114,250.1,55.6,3,700,2.4,75,600,1000,18,310,8,250
18,155,95,Female,Sedentary,1,2001,114,250.1,55.6,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,95,Female,Moderate,0,2585,114,323.1,71.8,3,700,2.4,75,600,1000,18,310,8,250
18,155,95,Female,Moderate,1,2585,114,323.1,71.8,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,95,Female,Heavy,0,3168,114,396,88,3,700,2.4,75,600,1000,18,310,8,250
18,155,95,Female,Heavy,1,3168,114,396,88,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,100,Male,Sedentary,NULL,2260,120,282.5,62.8,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,100,Male,Moderate,NULL,2919,120,364.9,81.1,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,100,Male,Heavy,NULL,3579,120,447.4,99.4,3.7,900,2.4,90,600,1000,8,400,11,250
18,155,100,Female,Sedentary,0,2061,120,257.6,57.2,3,700,2.4,75,600,1000,18,310,8,250
18,155,100,Female,Sedentary,1,2061,120,257.6,57.2,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,100,Female,Moderate,0,2662,120,332.8,73.9,3,700,2.4,75,600,1000,18,310,8,250
18,155,100,Female,Moderate,1,2662,120,332.8,73.9,3.8,770,2.6,85,600,1000,27,350,11,300
18,155,100,Female,Heavy,0,3263,120,407.9,90.6,3,700,2.4,75,600,1000,18,310,8,250
18,155,100,Female,Heavy,1,3263,120,407.9,90.6,3.8,770,2.6,85,600,1000,27,350,11,300
18,160,45,Male,Sedentary,NULL,1638,54,204.8,45.5,3.7,900,2.4,90,600,1000,8,400,11,250
18,160,45,Male,Moderate,NULL,2115,54,264.4,58.8,3.7,900,2.4,90,600,1000,8,400,11,250
18,160,45,Male,Heavy,NULL,2593,54,324.1,72,3.7,900,2.4,90,600,1000,8,400,11,250
18,160,45,Female,Sedentary,0,1438,54,179.8,39.9,3,700,2.4,75,600,1000,18,310,8,250
18,160,45,Female,Sedentary,1,1438,54,179.8,39.9,3.8,770,2.6,85,600,1000,27,350,11,300
18,160,45,Female,Moderate,0,1858,54,232.2,51.6,3,700,2.4,75,600,1000,18,310,8,250
18,160,45,Female,Moderate,1,1858,54,232.2,51.6,3.8,770,2.6,85,600,1000,27,350,11,300
18,160,45,Female,Heavy,0,2278,54,284.8,63.3,3,700,2.4,75,600,1000,18,310,8,250
18,160,45,Female,Heavy,1,2278,54,284.8,63.3,3.8,770,2.6,85,600,1000,27,350,11,300
18,160,50,Male,Sedentary,NULL,1698,60,212.2,47.2,3.7,900,2.4,90,600,1000,8,400,11,250
18,160,50,Male,Moderate,NULL,2193,60,274.1,60.9,3.7,900,2.4,90,600,1000,8,400,11,250
18,160,50,Male,Heavy,NULL,2688,60,336,74.7,3.7,900,2.4,90,600,1000,8,400,11,250
18,160,50,Female,Sedentary,0,1498,60,187.2,41.6,3,700,2.4,75,600,1000,18,310,8,250
18,160,50,Female,Sedentary,1,1498,60,187.2,41.6,3.8,770,2.6,85,600,1000,27,350,11,300
18,160,50,Female,Moderate,0,1935,60,241.9,53.8,3,700,2.4,75,600,1000,18,310,8,250
18,160,50,Female,Moderate,1,1935,60,241.9,53.8,3.8,770,2.6,85,600,1000,27,350,11,300
18,160,50,Female,Heavy,0,2373,60,296.6,65.9,3,700,2.4,75,600,1000,18,310,8,250
18,160,50,Female,Heavy,1,2373,60,296.6,65.9,3.8,770,2.6,85,600,1000,27,350,11,300
18,160,55,Male,Sedentary,NULL,1758,66,219.8,48.8,3.7,900,2.4,90,600,1000,8,400,11,250
18,160,55,Male,Moderate,NULL,2270,66,283.8,63.1,3.7,900,2.4,90,600,1000,8,400,11,250
18,160,55,Male,Heavy,NULL,2783,66,347.9,77.3,3.7,900,2.4,90,600,1000,8,400,11,250
18,160,55,Female,Sedentary,0,1558,66,194.8,43.3,3,700,2.4,75,600,1000,18,310,8,250
18,160,55,Female,Sedentary,1,1558,66,194.8,43.3,3.8,770,2.6,85,600,1000,27,350,11,300
18,160,55,Female,Moderate,0,2013,66,251.6,55.9,3,700,2.4,75,600,1000,18,310,8,250
18,160,55,Female,Moderate,1,2013,66,251.6,55.9,3.8,770,2.6,85,600,1000,27,350,11,300
18,160,55,Female,Heavy,0,2468,66,308.5,68.6,3,700,2.4,75,600,1000,18,310,8,250
18,160,55,Female,Heavy,1,2468,66,308.5,68.6,3.8,770,2.6,85,600,1000,27,350,11,300
18,160,60,Male,Sedentary,NULL,1818,72,227.2,50.5,3.7,900,2.4,90,600,1000,8,400,11,250
18,160,60,Male,Moderate,NULL,2348,72,293.5,65.2,3.7,900,2.4,90,600,1000,8,400,11,250
18,160,60,Male,Heavy,NULL,2878,72,359.8,79.9,3.7,900,2.4,90,600,1000,8,400,11,250
18,160,60,Female,Sedentary,0,1618,72,202.2,44.9,3,700,2.4,75,600,1000,18,310,8,250
18,160,60,Female,Sedentary,1,1618,72,202.2,44.9,3.8,770,2.6,85,600,1000,27,350,11,300
18,160,60,Female,Moderate,0,2090,72,261.2,58.1,3,700,2.4,75,600,1000,18,310,8,250
18,160,60,Female,Moderate,1,2090,72,261.2,58.1,3.8,770,2.6,85,600,1000,27,350,11,300
18,160,60,Female,Heavy,0,2563,72,320.4,71.2,3,700,2.4,75,600,1000,18,310,8,250
18,160,60,Female,Heavy,1,2563,72,320.4,71.2,3.8,770,2.6,85,600,1000,27,350,11,300
18,160,65,Male,Sedentary,NULL,1878,78,234.8,52.2,3.7,900,2.4,90,600,1000,8,400,11,250
